,city,timezone,date_time,league_name,home_team,home_team_name,home_id,home_team_city,home_team_country,home_capacity,away_team,away_id,away_team_city,away_team_country,iata_h,iata_a,icao_h,icao_a,airport_city_h,airport_city_a,lat_h,lon_h,lat_a,lon_a,Average_flights,number_of_flights,Air France,Lufthansa,British Airways
87,Herning,UTC,2020-11-03 20:00:00,UEFA Champions League,FC Midtjylland,FC Midtjylland,397,Herning,Denmark,11809,Ajax,194,Amsterdam,Netherlands,CPH,AMS,EKCH,EHAM,Copenhagen,Amsterdam,55.616959,12.645637,52.308609,4.763889,4.85,5,0.0,0.0,1.0
88,Bergamo,UTC,2020-11-03 20:00:00,UEFA Champions League,Atalanta,Atalanta,499,Bergamo,Italy,21300,Liverpool,40,Liverpool,England,FCO,LPL,LIRF,EGGP,Rome,Liverpool,41.80447,12.25079,53.333611,-2.84972,6.66,7,0.0,0.0,0.0
89,Porto,UTC,2020-11-03 20:00:00,UEFA Champions League,FC Porto,FC Porto,212,Porto,Portugal,50399,Marseille,81,Marseille,France,OPO,MRS,LPPR,LFML,Porto,Marseille,41.248051,-8.68138,43.436661,5.215,7.0,9,0.0,0.0,0.0
90,Madrid,UTC,2020-11-03 20:00:00,UEFA Champions League,Real Madrid,Real Madrid,541,Madrid,Spain,85454,Inter,505,Milano,Italy,MAD,FCO,LEMD,LIRF,Madrid,Rome,40.488701,-3.57,41.80447,12.25079,9.76,11,1.0,2.0,0.0
91,Manchester,UTC,2020-11-03 20:00:00,UEFA Champions League,Manchester City,Manchester City,50,Manchester,England,55097,Olympiakos Piraeus,553,Piraeus,Greece,MAN,ATH,EGCC,LGAV,Manchester,Athens,53.353741,-2.27495,37.936352,23.94446,9.31,10,1.0,0.0,0.0
92,Wals-Siezenheim,UTC,2020-11-03 20:00:00,UEFA Champions League,Red Bull Salzburg,Red Bull Salzburg,571,Wals-Siezenheim,Austria,31895,Bayern Munich,157,München,Germany,VIE,FRA,LOWW,EDDF,Vienna,Frankfurt,48.110271,16.569719,50.037796,8.555783,5.64,6,1.0,1.0,0.0
93,St. Petersburg,UTC,2020-11-04 17:55:00,UEFA Champions League,Zenit Saint Petersburg,Zenit Saint Petersburg,596,St. Petersburg,Russia,68134,Lazio,487,Roma,Italy,SPG,RMA,KSPG,YROM,St. Petersburg,Roma,27.76511,-82.6269,-26.545,148.774719,9.06,10,0.0,0.0,0.0
94,İstanbul,UTC,2020-11-04 17:55:00,UEFA Champions League,Istanbul Basaksehir,Istanbul Basaksehir,564,İstanbul,Turkey,17319,Manchester United,33,Manchester,England,IST,MAN,LTFM,EGCC,Istanbul,Manchester,41.267052,28.729757,53.353741,-2.27495,11.4,13,0.0,2.0,2.0
95,Sevilla,UTC,2020-11-04 20:00:00,UEFA Champions League,Sevilla,Sevilla,536,Sevilla,Spain,48649,Krasnodar,621,Krasnodar,Russia,MAD,KRR,LEMD,URKK,Madrid,Krasnodar,40.488701,-3.57,45.034679,39.170528,5.33,8,0.0,2.0,2.0
96,London,UTC,2020-11-04 20:00:00,UEFA Champions League,Chelsea,Chelsea,49,London,England,41841,Rennes,94,Rennes,France,BQH,RNS,EGKB,LFRN,London,Rennes,51.33083,0.0325,48.071941,-1.73222,9.55,10,0.0,2.0,1.0
97,Brugge,UTC,2020-11-04 20:00:00,UEFA Champions League,Club Brugge KV,Club Brugge KV,569,Brugge,Belgium,29062,Borussia Dortmund,165,Dortmund,Germany,BRU,DTM,EBBR,EDLW,Brussels,Dortmund,50.901379,4.484444,51.518311,7.612242,6.38,6,1.0,0.0,1.0
100,Leipzig,UTC,2020-11-04 20:00:00,UEFA Champions League,RB Leipzig,RB Leipzig,173,Leipzig,Germany,47069,Paris Saint Germain,85,Paris,France,LEJ,BVA,EDDP,LFOB,Leipzig,Paris,51.432442,12.24163,49.454441,2.112778,5.86,8,3.0,2.0,3.0
